path,country,pages,pypdf_chars,pypdf_lang,pypdf_error,fitz_chars,fitz_lang,fitz_error,verdict
plans/_human_review_needed/_incoming_for_review/_unknown_language/AGO/312/CETAC_Huambo_Climate_Leaflet.pdf,AGO,2,0,,too_short (0 chars),0,,too_short (0 chars),still_unknown
plans/_human_review_needed/_incoming_for_review/_unknown_language/CHN/766/sjz-urban-renewal-resilience-report-2023.pdf,CHN,16,0,,too_short (0 chars),0,,too_short (0 chars),still_unknown
plans/_human_review_needed/_incoming_for_review/_unknown_language/CHN/791/Pingdingshan_Gov_Gazette_2023.pdf,CHN,41,0,,too_short (0 chars),0,,too_short (0 chars),still_unknown
plans/_human_review_needed/_incoming_for_review/_unknown_language/CHN/898/Zhongshan-Gov-Bulletin-2023.pdf,CHN,41,0,,too_short (0 chars),0,,too_short (0 chars),still_unknown
plans/_human_review_needed/_incoming_for_review/_unknown_language/CHN/913/zjg-territorial-spatial-planning-implementation.pdf,CHN,107,0,,too_short (0 chars),0,,too_short (0 chars),still_unknown
plans/_human_review_needed/_incoming_for_review/_unknown_language/CHN/929/jinhua-yiwu-economic-social-dev-2024.pdf,CHN,1,0,,too_short (0 chars),0,,too_short (0 chars),still_unknown
plans/_human_review_needed/_incoming_for_review/_unknown_language/COL/78/medellin-risk-management-plan-pmgrd.pdf,COL,38,0,,too_short (0 chars),0,,too_short (0 chars),still_unknown
plans/_human_review_needed/_incoming_for_review/_unknown_language/GHA/203/KMA-Youth-Climate-Action-Fund.pdf,GHA,3,0,,too_short (0 chars),0,,too_short (0 chars),still_unknown
plans/_human_review_needed/_incoming_for_review/_unknown_language/IDN/849/palembang-inswako-kampung-iklim.pdf,IDN,4,0,,too_short (0 chars),0,,too_short (0 chars),still_unknown
plans/_human_review_needed/_incoming_for_review/_unknown_language/IND/580/Gwalior-Heat-Resilience-Analysis-2025.pdf,IND,42,0,,too_short (0 chars),0,,too_short (0 chars),still_unknown
plans/_human_review_needed/_incoming_for_review/_unknown_language/IND/657/Tiruchirappalli-GCoM-Commitment.pdf,IND,2,0,,too_short (0 chars),0,,too_short (0 chars),still_unknown
plans/_human_review_needed/_incoming_for_review/_unknown_language/IND/662/Tirupati-City-Sanitation-Plan.pdf,IND,28,0,,too_short (0 chars),0,,too_short (0 chars),still_unknown
plans/_human_review_needed/_incoming_for_review/_unknown_language/IND/698/ECRICC-coastal-resilience-odisha.pdf,IND,17,0,,too_short (0 chars),0,,too_short (0 chars),still_unknown
plans/_human_review_needed/_incoming_for_review/_unknown_language/ITA/290/Napoli-PAESC-2025.pdf,ITA,13,0,,too_short (0 chars),0,,too_short (0 chars),still_unknown
plans/_human_review_needed/_incoming_for_review/_unknown_language/JPN/1026/Toyama-City-Climate-Policy-Committee-Report-2023.pdf,JPN,3,0,,too_short (0 chars),0,,too_short (0 chars),still_unknown
plans/_human_review_needed/_incoming_for_review/_unknown_language/MEX/10/culiacan-resilience-policy-2022.pdf,MEX,18,0,,too_short (0 chars),0,,too_short (0 chars),still_unknown
plans/_human_review_needed/_incoming_for_review/_unknown_language/MEX/1004/colima-resiliencia-agricola-2024.pdf,MEX,22,0,,too_short (0 chars),0,,too_short (0 chars),still_unknown
plans/_human_review_needed/_incoming_for_review/_unknown_language/MEX/1012/juarez-acta-comision-ecologia-PAC-2020.pdf,MEX,3,7,,too_short (7 chars),7,,too_short (7 chars),still_unknown
plans/_human_review_needed/_incoming_for_review/_unknown_language/MEX/20/leon-consejo-consultivo-ambiental-2025.pdf,MEX,4,0,,too_short (0 chars),0,,too_short (0 chars),still_unknown
plans/_human_review_needed/_incoming_for_review/_unknown_language/MEX/23/Certificadora-Amb-IECCMQ-2023.pdf,MEX,2,0,,too_short (0 chars),0,,too_short (0 chars),still_unknown
plans/_human_review_needed/_incoming_for_review/_unknown_language/MEX/39/Programa-Municipal-Desarrollo-Urbano-Veracruz-Clima.pdf,MEX,247,0,,too_short (0 chars),0,,too_short (0 chars),still_unknown
plans/_human_review_needed/_incoming_for_review/_unknown_language/POL/308/krakow-plan-adaptacji-dokument-strategiczny.pdf,POL,150,0,,too_short (0 chars),0,,too_short (0 chars),still_unknown
plans/_human_review_needed/_incoming_for_review/_unknown_language/RUS/389/Volga-District-Climate-Adaptation-Overview-2022.pdf,RUS,16,1,,too_short (1 chars),1,,too_short (1 chars),still_unknown
plans/_human_review_needed/_incoming_for_review/_unknown_language/TWN/959/Tainan-Climate-Adaptation-Implementation-2026.pdf,TWN,2,0,,too_short (0 chars),0,,too_short (0 chars),still_unknown
plans/_human_review_needed/_incoming_for_review/_unknown_language/USA/1031/Honolulu-ADAPT-2050-Waikiki.pdf,USA,2,0,,too_short (0 chars),0,,too_short (0 chars),still_unknown
plans/_human_review_needed/_incoming_for_review/_unknown_language/VNM/809/haiphong-climate-adaptation-urban-planning-2026.pdf,VNM,50,0,,too_short (0 chars),0,,too_short (0 chars),still_unknown
plans/_incoming_for_review/_unknown_language/CHN/1007/Deyang-Resilience-Strategy-English.pdf,CHN,20,0,,too_short (0 chars),0,,too_short (0 chars),still_unknown
plans/_incoming_for_review/_unknown_language/CHN/1007/Deyang-Resilience-Strategy-English.pdf,CHN,20,0,,too_short (0 chars),0,,too_short (0 chars),still_unknown
plans/_incoming_for_review/_unknown_language/CHN/1007/sichuan-climate-adaptation-plan-2025-2035.pdf,CHN,18,0,,too_short (0 chars),0,,too_short (0 chars),still_unknown
plans/_incoming_for_review/_unknown_language/CHN/1007/sichuan-climate-adaptation-plan-2025-2035.pdf,CHN,18,0,,too_short (0 chars),0,,too_short (0 chars),still_unknown
plans/_incoming_for_review/_unknown_language/CHN/749/Datong-Climate-Adaptation-Plan-2024-2025.pdf,CHN,28,0,,too_short (0 chars),0,,too_short (0 chars),still_unknown
plans/_incoming_for_review/_unknown_language/CHN/749/Datong-Climate-Adaptation-Plan-2024-2025.pdf,CHN,28,0,,too_short (0 chars),0,,too_short (0 chars),still_unknown
plans/_incoming_for_review/_unknown_language/CHN/773/henan-14th-fy-environmental-adaptation-plan.pdf,CHN,71,0,,too_short (0 chars),0,,too_short (0 chars),still_unknown
plans/_incoming_for_review/_unknown_language/CHN/773/henan-14th-fy-environmental-adaptation-plan.pdf,CHN,71,0,,too_short (0 chars),0,,too_short (0 chars),still_unknown
plans/_incoming_for_review/_unknown_language/CHN/793/fuxin-haizhou-disaster-resilience-plan.pdf,CHN,6,0,,too_short (0 chars),0,,too_short (0 chars),still_unknown
plans/_incoming_for_review/_unknown_language/CHN/793/fuxin-haizhou-disaster-resilience-plan.pdf,CHN,6,0,,too_short (0 chars),0,,too_short (0 chars),still_unknown
plans/_incoming_for_review/_unknown_language/CHN/797/Xuchang-Sponge-City-Plan-2016-2030.pdf,CHN,4,0,,too_short (0 chars),0,,too_short (0 chars),still_unknown
plans/_incoming_for_review/_unknown_language/CHN/797/Xuchang-Sponge-City-Plan-2016-2030.pdf,CHN,4,0,,too_short (0 chars),0,,too_short (0 chars),still_unknown
plans/_incoming_for_review/_unknown_language/CHN/833/yiyang-14th-fyp-climate-adaptation-plan.pdf,CHN,3,0,,too_short (0 chars),0,,too_short (0 chars),still_unknown
plans/_incoming_for_review/_unknown_language/CHN/833/yiyang-14th-fyp-climate-adaptation-plan.pdf,CHN,3,0,,too_short (0 chars),0,,too_short (0 chars),still_unknown
